HomePlanet,CryoSleep,Destination,Age,VIP,Cabin_ID_1,Cabin_ID_2,Cabin_ID_3,GroupRank,GroupSize,RoomService_Cat,FoodCourt_Cat,ShoppingMall_Cat,Spa_Cat,VRDeck_Cat,EssentialSpendingCat,NonEssentialSpendingCat,Transported
0.0,0,0.0,39.0,0,9,0,3,1,1,0,0,0,0,0,0,0,0
1.0,0,0.0,24.0,0,13,0,4,1,1,2,1,1,2,1,1,2,1
0.0,0,0.0,58.0,1,8,0,4,1,2,1,3,0,3,1,3,2,0
0.0,0,0.0,33.0,0,8,0,4,2,2,0,3,2,3,2,3,2,0
1.0,0,0.0,16.0,0,13,1,4,1,1,2,1,2,2,1,1,2,1
1.0,0,1.0,44.0,0,13,0,3,1,1,0,2,0,2,0,2,2,1
1.0,0,0.0,26.0,0,13,2,4,1,2,1,3,1,0,0,3,1,1
1.0,1,0.0,28.0,0,14,0,4,2,2,0,0,0,0,1,0,1,1
1.0,0,0.0,35.0,0,13,3,4,1,1,0,2,1,2,0,2,2,1
0.0,1,2.0,14.0,0,9,1,3,1,3,0,0,0,0,0,0,0,1
0.0,1,0.0,34.0,0,9,1,3,2,3,0,0,1,0,0,0,1,1
0.0,0,2.0,45.0,0,9,1,3,3,3,1,3,3,2,2,3,2,1
2.0,0,0.0,32.0,0,13,1,3,1,1,1,0,3,0,2,0,2,1
1.0,0,0.0,48.0,0,14,1,4,1,1,3,1,2,0,1,1,2,0
1.0,0,0.0,28.0,0,13,2,3,1,1,1,3,1,1,1,3,1,1
1.0,0,0.0,31.0,0,1,3,1,1,1,1,0,3,0,0,0,2,0
2.0,0,2.0,27.0,0,13,3,3,1,1,3,2,1,0,0,2,2,0
1.0,0,2.0,24.0,0,13,4,3,1,1,0,1,0,0,3,1,3,0
2.0,1,0.0,45.0,0,13,5,3,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,0.0,0,14,0,3,1,2,0,0,0,0,0,0,0,1
1.0,0,2.0,14.0,0,13,6,3,2,2,2,0,1,0,3,0,2,0
1.0,1,0.0,1.0,0,12,0,4,1,6,0,0,0,0,0,0,0,0
1.0,1,2.0,49.0,0,12,0,4,2,6,0,0,0,0,0,0,0,0
1.0,1,2.0,29.0,0,12,0,4,3,6,0,0,1,0,0,0,1,0
